pause_sec,log_pause,rms_before,rms_after,rms_ratio,energy_slope,rate_before,rate_after,rate_delta,last_segment_dur,segment_dur_ratio,vowel_energy_ratio,word_dur_ratio,n_segments,segment_variability,spectral_flux,pitch_mean,pitch_drop,voiced_fraction,y,source
0.0,-4.60517,0.133689,0.168413,0.793817,0.000657788,2.5,2.5,0.0,0.05,0.357143,1.48207,0.357143,2,0.127279,0.0300308,117.056,-1.88139,0.315789,0,dudh
0.48,-0.71335,0.140678,0.205726,0.683807,-0.0107313,2.5,7.5,5.0,0.07,0.7,1.3499,0.7,2,0.0424264,0.0198964,112.89,2.53017,0.684211,1,dudh
0.28,-1.23787,0.0433228,0.158054,0.2741,0.000102691,5.0,2.5,-2.5,0.02,0.222222,2.61926,0.222222,3,0.0964365,0.0216234,0.0,0.0,0.0,0,dudh
0.15,-1.83258,0.0610002,0.122102,0.499578,0.00123909,5.0,5.0,0.0,0.01,0.142857,1.49821,0.142857,3,0.072111,0.016707,112.719,0.0,0.315789,0,dudh
0.12,-2.04022,0.132274,0.0616639,2.14504,-0.00709417,2.5,2.5,0.0,0.29,1.0,1.7439,1.0,1,0.0,0.0145358,131.835,44.566,0.526316,0,dudh
0.74,-0.287682,0.0607562,0.302914,0.200572,-0.00493022,5.0,2.5,-2.5,0.2,1.37931,2.49396,1.37931,2,0.0777817,0.0124507,118.485,3.27198,0.315789,0,dudh
0.03,-3.21888,0.186441,0.274638,0.67886,-0.0166786,2.5,5.0,2.5,0.31,1.0,1.44889,1.0,1,0.0,0.0260255,245.778,-170.748,0.894737,0,dudh
0.0,-4.60517,0.32193,0.0464473,6.93094,-0.00026194,2.5,2.5,0.0,0.19,1.35714,1.70529,1.35714,2,0.0707107,0.0556374,203.975,-18.9986,0.947368,0,dudh
0.03,-3.21888,0.0305462,0.315925,0.0966877,-0.00246706,0.0,0.0,0.0,0.25,1.0,2.02026,1.0,1,0.0,0.00547505,216.216,0.0,0.0526316,0,dudh
0.0,-4.60517,0.335482,0.170015,1.97324,-0.000479573,0.0,5.0,5.0,0.01,1.0,1.0,1.0,40,0.0,0.0328945,191.2,-11.2954,1.0,0,dudh
0.07,-2.52573,0.199274,0.308254,0.646457,-0.0150743,5.0,0.0,-5.0,0.01,0.08,1.43119,0.08,2,0.162635,0.0343912,250.174,-239.274,0.315789,0,dudh
0.03,-3.21888,0.315837,0.208215,1.51687,0.00145433,0.0,2.5,2.5,0.01,1.0,1.0,1.0,40,0.0,0.0373402,132.003,2.4149,0.947368,0,dudh
0.0,-4.60517,0.225243,0.294578,0.764628,0.0174479,5.0,5.0,0.0,0.09,0.931034,1.44322,0.931034,3,0.011547,0.0477394,163.809,-33.5492,0.421053,0,dudh
0.0,-4.60517,0.252595,0.222895,1.13324,0.00293138,0.0,0.0,0.0,0.01,1.0,1.0,1.0,40,0.0,0.00905016,122.083,-58.2284,0.789474,0,dudh
0.0,-4.60517,0.229789,0.269996,0.851081,0.0005196,0.0,0.0,0.0,0.01,1.0,1.0,1.0,40,0.0,0.0204305,138.697,131.25,0.684211,0,dudh
0.03,-3.21888,0.218381,0.139844,1.5616,-0.00269025,0.0,2.5,2.5,0.01,1.0,1.0,1.0,40,0.0,0.0085744,102.443,4.07015,0.789474,0,dudh
0.0,-4.60517,0.22976,0.257873,0.890978,-0.00446747,2.5,5.0,2.5,0.01,1.0,1.0,1.0,1,0.0,0.033887,155.793,4.16145,0.421053,0,dudh
0.0,-4.60517,0.193119,0.176703,1.09289,0.0071357,7.5,2.5,-5.0,0.03,0.642857,1.36806,0.642857,3,0.0378594,0.0416911,118.082,10.1288,0.684211,0,dudh
0.0,-4.60517,0.184153,0.25137,0.732592,0.00575442,5.0,2.5,-2.5,0.09,1.08,1.65156,1.08,3,0.0503322,0.0515288,128.771,0.0,0.263158,0,dudh
0.0,-4.60517,0.252049,0.218567,1.15319,0.00920895,7.5,5.0,-2.5,0.08,1.6,1.20547,1.6,3,0.0264575,0.0278273,101.958,-6.28938,0.473684,0,dudh
0.07,-2.52573,0.157002,0.274916,0.57109,0.00936582,5.0,5.0,0.0,0.11,1.13793,2.0593,1.13793,3,0.080829,0.0282851,96.8965,0.0,0.263158,0,dudh
0.12,-2.04022,0.105399,0.28616,0.368322,-0.0105247,5.0,12.5,7.5,0.01,0.107143,1.47239,0.107143,3,0.144338,0.0227548,110.414,0.0,0.157895,0,dudh
0.0,-4.60517,0.274376,0.241346,1.13685,0.00707815,10.0,5.0,-5.0,0.17,2.61538,2.34705,2.61538,4,0.0714143,0.079575,138.582,11.4481,0.421053,0,dudh
